"SysSchoolID","SchoolName","Number Tested All Students","Fail All Students","Pass All Students","Number Tested Economically Disadvantaged","Fail Economically Disadvantaged","Pass Economically Disadvantaged","Number Tested Migrant","Fail Migrant","Pass Migrant","Number Tested Not Economically Disadv.","Fail Not Economically Disadv.","Pass Not Economically Disadv.","Number Tested Asian","Fail Asian","Pass Asian","Number Tested Black","Fail Black","Pass Black","Number Tested Female","Fail Female","Pass Female","Number Tested Hispanic","Fail Hispanic","Pass Hispanic","Number Tested Limited English Proficient","Fail Limited English Proficient","Pass Limited English Proficient","Number Tested Male","Fail Male","Pass Male","Number Tested Native Amer/Alaskan Native","Fail Native Amer/Alaskan Native","Pass Native Amer/Alaskan Native","Number Tested Students without Disabilities","Fail Students without Disabilities","Pass Students without Disabilities","Number Tested Students with Disabilities","Fail Students with Disabilities","Pass Students with Disabilities","Number Tested Multiracial","Fail Multiracial","Pass Multiracial","Number Tested White","Fail White","Pass White"
"628:176","Etowah High School","378","5","95","26","23","77","","","","348","4","96","10","","","17","12","88","188","3","97","12","17","83","5","","","186","8","92","2","","","345","2","98","29","38","62","1","","","332","4","96"
"628:191","Sequoyah High School","389","2","98","18","6","94","","","","367","2","98","4","","","6","","","188","3","97","6","","","13","15","85","197","2","98","1","","","368","2","98","17","6","94","","","","368","2","98"
"628:194","Polaris Evening School","20","10","90","","","","","","","11","9","91","","","","","","","5","","","1","","","","","","6","","","","","","11","9","91","","","","","","","10","",""
"628:197","Woodstock High School","429","8","92","33","21","79","","","","375","7","93","8","","","19","32","68","210","6","94","28","39","61","9","","","198","10","90","1","","","372","6","94","36","25","75","4","","","348","4","96"
"628:5050","Cherokee High School","367","6","94","47","11","89","","","","318","5","95","4","","","16","13","88","193","5","95","15","20","80","2","","","172","6","94","","","","340","4","96","25","28","72","","","","330","5","95"
"628:ALL","Cherokee County","1583","6","94","124","15","85","","","","1419","4","96","26","12","88","58","17","83","784","4","96","62","31","69","29","41","59","759","6","94","4","","","1436","4","96","107","26","74","5","","","1388","4","96"
"629:104","Classic City Performance Learning Center","2","","","","","","","","","2","","","","","","2","","","","","","","","","","","","2","","","","","","2","","","","","","","","","","",""
"629:4556","Cedar Shoals High School","278","17","83","105","27","73","","","","161","7","93","11","0","100","132","20","80","160","10","90","14","57","43","4","","","106","22","78","","","","246","12","88","20","50","50","4","","","105","4","96"
"629:5556","Clarke Central High School","244","19","81","91","31","69","5","","","140","8","92","9","","","113","21","79","116","11","89","26","38","62","6","","","115","23","77","1","","","205","12","88","26","58","42","6","","","76","5","95"
"629:ALL","Clarke County","524","18","82","196","29","71","5","","","303","8","92","20","5","95","247","21","79","276","11","89","40","45","55","10","","","223","23","77","1","","","453","12","88","46","54","46","10","","","181","4","96"
"631:104","Mundy's Mill High School","308","13","87","160","16","84","","","","147","10","90","5","","","269","13","87","173","11","89","6","","","1","","","134","16","84","","","","288","10","90","19","58","42","5","","","22","18","82"
"631:1054","Forest Park High School","230","19","81","150","21","79","","","","80","15","85","47","28","72","122","16","84","119","16","84","26","27","73","21","76","24","111","23","77","","","","216","17","83","14","57","43","2","","","33","12","88"
"631:1056","Jonesboro High School","269","9","91","83","12","88","","","","182","8","92","5","","","149","11","89","152","9","91","12","25","75","7","","","113","9","91","","","","246","7","93","19","42","58","5","","","94","4","96"
"631:190","Lovejoy High School","309","6","94","92","14","86","","","","212","3","97","4","","","178","8","92","145","1","99","17","12","88","2","","","159","11","89","","","","276","3","97","28","39","61","8","","","97","2","98"
"631:2052","North Clayton High School","257","17","83","120","16","84","","","","125","16","84","6","","","231","16","84","148","11","89","5","","","6","","","97","23","77","","","","240","15","85","5","","","3","","","","",""
"631:290","Mount Zion High School","306","13","87","157","15","85","","","","131","11","89","16","31","69","217","10","90","155","9","91","19","42","58","13","62","38","133","18","82","","","","263","11","89","25","40","60","8","","","28","4","96"
"631:377","Riverdale High School","238","11","89","102","14","86","","","","131","9","91","13","0","100","197","12","88","130","8","92","11","27","73","4","","","103","16","84","1","","","221","8","92","12","67","33","2","","","9","",""
"631:4058","Morrow High School","356","13","87","186","17","83","","","","162","9","91","42","19","81","240","11","89","173","7","93","21","38","62","19","47","53","175","19","81","","","","325","11","89","23","39","61","8","","","37","8","92"
"631:ALL","Clayton County","2273","12","88","1050","16","84","","","","1170","9","91","138","20","80","1603","12","88","1195","9","91","117","27","73","73","62","38","1025","16","84","1","","","2075","10","90","145","47","53","41","5","95","320","6","94"
"632:1050","Clinch County High School","68","43","57","43","53","47","1","","","24","17","83","","","","32","59","41","32","25","75","","","","","","","35","54","46","","","","58","31","69","9","","","","","","35","23","77"
"632:ALL","Clinch County","68","43","57","43","53","47","1","","","24","17","83","","","","32","59","41","32","25","75","","","","","","","35","54","46","","","","58","31","69","9","","","","","","35","23","77"
"633:101","Kennesaw Mountain High School","655","5","95","39","21","79","","","","614","4","96","16","13","88","86","3","97","346","3","97","21","38","62","11","73","27","307","8","92","1","","","599","4","96","54","20","80","11","9","91","518","4","96"
"633:103","Kell High School","360","4","96","27","11","89","","","","327","4","96","13","15","85","44","9","91","187","3","97","23","17","83","8","","","167","5","95","1","","","319","3","97","35","14","86","5","","","268","2","98"
"633:1054","Campbell High School","411","10","90","122","14","86","","","","280","8","93","23","9","91","182","9","91","213","8","92","41","34","66","16","63","38","189","12","88","","","","378","8","92","24","38","63","13","0","100","143","4","96"
"633:1064","McEachern High School","666","6","94","95","18","82","","","","567","5","95","9","","","197","10","90","358","4","96","18","22","78","4","","","304","9","91","2","","","605","4","96","57","33","67","19","5","95","417","4","96"
"633:1069","Wheeler High School","358","11","89","47","30","70","","","","305","8","92","29","10","90","104","13","87","162","9","91","37","30","70","20","65","35","190","12","88","1","","","329","9","91","23","35","65","8","","","173","5","95"
"633:175","Walton High School","572","3","97","8","","","","","","563","2","98","55","4","96","20","5","95","273","3","97","7","","","4","","","298","2","98","2","","","497","2","98","74","9","91","5","","","482","2","98"
"633:186","Oakwood High School","23","9","91","4","","","1","","","12","17","83","","","","5","","","7","","","2","","","","","","9","","","","","","15","7","93","1","","","1","","","8","",""
"633:188","Pope High School","444","1","99","8","","","","","","435","1","99","23","4","96","30","3","97","221","0","100","12","0","100","2","","","222","2","98","","","","397","1","99","46","9","91","5","","","373","1","99"
"633:192","Harrison High School","470","6","94","6","","","","","","462","6","94","4","","","24","17","83","239","4","96","5","","","1","","","229","9","91","","","","422","3","97","46","39","61","5","","","430","5","95"
"633:2056","North Cobb High School","476","8","92","63","27","73","","","","411","5","95","22","9","91","91","13","87","246","6","94","28","36","64","12","83","17","228","11","89","3","","","432","6","94","42","26","74","11","9","91","319","4","96"
"633:2066","Osborne High School","307","22","78","130","28","72","","","","173","17","83","14","7","93","157","22","78","164","22","78","60","40","60","20","90","10","139","22","78","","","","268","18","82","35","49","51","5","","","67","10","90"
"633:3056","South Cobb High School","426","18","82","116","28","72","","","","309","14","86","12","25","75","202","19","81","224","10","90","31","35","65","11","82","18","201","26","74","","","","377","12","88","48","60","40","7","","","173","13","87"
"633:373","Sprayberry High School","401","7","93","29","10","90","","","","369","6","94","28","18","82","58","12","88","188","4","96","15","20","80","9","","","210","9","91","1","","","349","5","95","49","18","82","12","0","100","284","4","96"
"633:381","Lassiter High School","554","3","97","5","","","","","","535","2","98","17","12","88","14","14","86","271","1","99","14","14","86","3","","","269","4","96","","","","480","2","98","60","10","90","9","","","486","2","98"
"633:4066","Pebblebrook High School","338","20","80","123","20","80","","","","210","19","81","2","","","233","21","79","159","14","86","31","26","74","5","","","174","25","75","2","","","307","17","83","26","50","50","5","","","60","12","88"
"633:ALL","Cobb County","6461","8","92","822","22","78","1","","","5572","6","94","267","10","90","1447","14","86","3258","6","94","345","30","70","126","75","25","3136","10","90","13","0","100","5774","6","94","620","27","73","121","6","94","4201","4","96"
"634:195","Coffee County High School","385","15","85","164","24","76","4","","","202","6","94","","","","127","27","73","198","9","91","12","17","83","2","","","168","20","80","","","","338","9","91","28","68","32","2","","","225","7","93"
"634:ALL","Coffee County","385","15","85","164","24","76","4","","","202","6","94","","","","127","27","73","198","9","91","12","17","83","2","","","168","20","80","","","","338","9","91","28","68","32","2","","","225","7","93"
"635:1554","Colquitt County High School","374","14","86","149","27","73","15","47","53","226","6","94","","","","111","25","75","199","13","87","26","31","69","10","","","176","15","85","","","","364","13","87","11","64","36","4","","","234","6","94"
"635:ALL","Colquitt County","374","14","86","149","27","73","15","47","53","226","6","94","","","","111","25","75","199","13","87","26","31","69","10","","","176","15","85","","","","364","13","87","11","64","36","4","","","234","6","94"
"636:183","Harlem High School","193","8","92","59","12","88","","","","132","8","92","2","","","38","16","84","95","3","97","10","","","","","","96","15","85","1","","","176","5","95","15","53","47","1","","","139","6","94"
"636:189","Lakeside High School","328","5","95","19","16","84","","","","304","4","96","34","3","97","25","4","96","144","4","96","10","","","4","","","179","6","94","","","","306","2","98","17","53","47","4","","","250","5","95"
"636:197","Greenbrier High School","338","4","96","15","27","73","","","","316","3","97","9","","","41","17","83","163","3","97","4","","","","","","168","4","96","1","","","319","2","98","12","42","58","2","","","274","2","98"
"636:4050","Evans High School","338","5","95","23","22","78","","","","319","4","96","12","0","100","40","8","93","162","1","99","12","17","83","","","","180","9","91","","","","320","3","97","22","36","64","3","","","275","4","96"
"636:ALL","Columbia County","1197","5","95","116","16","84","","","","1071","4","96","57","2","98","144","12","88","564","3","97","36","17","83","4","","","623","8","92","2","","","1121","3","97","66","45","55","10","","","938","4","96"
"637:2050","Cook County High School","151","9","91","52","15","85","","","","99","5","95","2","","","45","13","87","88","8","92","1","","","","","","63","10","90","","","","145","6","94","6","","","","","","103","6","94"
"637:ALL","Cook County","151","9","91","52","15","85","","","","99","5","95","2","","","45","13","87","88","8","92","1","","","","","","63","10","90","","","","145","6","94","6","","","","","","103","6","94"
"638:196","Northgate High School","274","5","95","11","18","82","","","","254","4","96","1","","","29","0","100","133","2","98","5","","","","","","132","6","94","","","","249","2","98","16","31","69","3","","","227","4","96"
"638:389","East Coweta High School","338","9","91","64","20","80","","","","257","5","95","4","","","70","17","83","150","4","96","9","","","3","","","171","11","89","","","","290","4","96","31","42","58","4","","","234","5","95"
"638:5054","Newnan High School","350","13","87","77","22","78","","","","259","8","92","","","","96","19","81","188","10","90","5","","","","","","148","14","86","","","","296","7","93","40","45","55","1","","","234","8","92"
"638:ALL","Coweta County","962","9","91","152","21","79","","","","770","6","94","5","","","195","15","85","471","6","94","19","21","79","3","","","451","10","90","","","","835","5","95","87","41","59","8","","","695","6","94"
"639:193","Crawford County High School","99","17","83","43","26","74","2","","","45","11","89","","","","22","27","73","43","21","79","2","","","","","","45","16","84","1","","","79","13","87","9","","","","","","63","14","86"
"639:ALL","Crawford County","99","17","83","43","26","74","2","","","45","11","89","","","","22","27","73","43","21","79","2","","","","","","45","16","84","1","","","79","13","87","9","","","","","","63","14","86"
"640:196","Crisp County High School","184","10","90","91","16","84","1","","","81","4","96","","","","84","15","85","84","8","92","1","","","2","","","88","13","88","","","","165","8","92","7","","","","","","87","5","95"
"640:ALL","Crisp County","184","10","90","91","16","84","1","","","81","4","96","","","","84","15","85","84","8","92","1","","","2","","","88","13","88","","","","165","8","92","7","","","","","","87","5","95"
"641:195","Dade County High School","156","12","88","44","23","77","","","","111","6","94","1","","","","","","72","7","93","2","","","","","","83","14","86","","","","150","10","90","5","","","","","","152","11","89"
"641:ALL","Dade County","156","12","88","44","23","77","","","","111","6","94","1","","","","","","72","7","93","2","","","","","","83","14","86","","","","150","10","90","5","","","","","","152","11","89"
"642:198","Dawson County High School  ","136","11","89","20","15","85","1","","","114","10","90","2","","","","","","64","5","95","4","","","3","","","70","16","84","","","","121","7","93","13","38","62","","","","128","9","91"
"642:ALL","Dawson County","136","11","89","20","15","85","1","","","114","10","90","2","","","","","","64","5","95","4","","","3","","","70","16","84","","","","121","7","93","13","38","62","","","","128","9","91"
"643:3050","Bainbridge High School","322","20","80","164","27","73","3","","","156","13","87","5","","","156","29","71","177","14","86","10","","","10","","","143","28","72","","","","288","13","88","32","88","13","","","","149","9","91"
"643:ALL","Decatur County","322","20","80","164","27","73","3","","","156","13","87","5","","","156","29","71","177","14","86","10","","","10","","","143","28","72","","","","288","13","88","32","88","13","","","","149","9","91"
"644:103","Martin Luther King, Jr. High School ","333","13","87","123","16","84","","","","209","11","89","2","","","321","13","87","172","8","92","","","","1","","","160","19","81","","","","318","11","89","14","64","36","7","","","2","",""
"644:1051","Avondale High School","173","16","84","118","15","85","","","","55","15","85","3","","","154","16","84","100","13","87","2","","","13","15","85","73","18","82","1","","","166","13","87","7","","","6","","","7","",""
"644:1070","Tucker High School","265","11","89","81","23","77","","","","185","6","94","24","25","75","148","11","89","121","8","92","11","45","55","47","32","68","145","14","86","","","","242","11","89","24","17","83","8","","","75","3","97"
"644:172","Cedar Grove High School","261","10","90","99","12","88","","","","162","8","92","","","","258","9","91","142","5","95","1","","","2","","","119","15","85","","","","250","8","92","11","45","55","1","","","1","",""
"644:176","Redan High School","363","12","88","151","15","85","","","","209","10","90","2","","","345","12","88","195","11","89","4","","","1","","","165","13","87","","","","330","8","92","30","53","47","4","","","5","",""
"644:199","DeKalb Alternative Night School","3","","","1","","","","","","3","","","","","","4","","","","","","","","","1","","","4","","","","","","4","","","","","","","","","","",""
"644:202","Lithonia High School","289","16","84","112","15","85","","","","169","13","87","","","","273","14","86","170","8","92","5","","","6","","","111","23","77","","","","257","9","91","24","71","29","2","","","1","",""
"644:2054","Columbia High School","235","25","75","117","27","73","","","","117","22","78","2","","","226","26","74","149","15","85","1","","","4","","","85","41","59","","","","218","20","80","16","94","6","4","","","1","",""
"644:2055","Druid Hills High School","199","12","88","58","31","69","","","","144","5","95","20","15","85","68","21","79","99","9","91","12","25","75","37","38","62","103","16","84","","","","191","10","90","11","55","45","7","","","95","5","95"
"644:276","Stone Mountain High School","277","19","81","165","25","75","","","","106","13","87","9","","","242","20","80","149","17","83","6","","","18","33","67","122","24","76","1","","","249","16","84","22","68","32","6","","","7","",""
"644:3060","Lakeside High School","286","7","93","52","21","79","","","","234","4","96","24","13","88","82","10","90","156","6","94","13","46","54","35","31","69","130","8","92","1","","","269","6","94","17","24","76","10","","","156","2","98"
"644:3070","McNair High School","200","18","82","129","18","82","","","","67","16","84","","","","194","18","82","103","14","86","","","","1","","","93","22","78","","","","181","14","86","15","53","47","2","","","","",""
"644:400","DeKalb School of the Arts","50","0","100","14","0","100","","","","36","0","100","1","","","39","0","100","35","0","100","","","","3","","","15","0","100","","","","49","0","100","1","","","","","","10","",""
"644:4053","Clarkston High School","155","26","74","74","35","65","","","","79","16","84","17","47","53","120","25","75","80","24","76","3","","","41","32","68","73","27","73","","","","140","20","80","13","85","15","2","","","11","0","100"
"644:4054","Cross Keys High School","160","37","63","101","43","57","","","","58","28","72","32","31","69","49","35","65","61","26","74","59","47","53","96","43","57","98","44","56","","","","144","33","67","15","73","27","4","","","15","27","73"
"644:4069","Towers High School","206","18","82","110","19","81","","","","92","16","84","1","","","200","18","82","114","11","89","1","","","5","","","88","26","74","","","","192","14","86","10","","","","","","","",""
"644:497","Stephenson High School","438","7","93","112","11","89","","","","323","5","95","2","","","421","7","93","222","5","95","5","","","7","","","213","8","92","","","","407","5","95","28","29","71","6","","","1","",""
"644:500","DeKalb Alternative School","8","","","5","","","","","","3","","","","","","8","","","2","","","","","","","","","6","","","","","","3","","","5","","","","","","","",""
"644:5052","Chamblee High School","301","9","91","60","23","77","","","","242","5","95","25","12","88","149","9","91","164","5","95","17","24","76","44","20","80","138","13","87","1","","","281","4","96","21","67","33","7","","","103","5","95"
"644:5055","Dunwoody High School","264","6","94","37","19","81","","","","226","5","95","21","14","86","101","5","95","131","5","95","15","40","60","29","24","76","132","9","91","","","","238","4","96","25","36","64","9","","","117","3","97"
"644:5067","Southwest DeKalb High School","312","9","91","96","11","89","","","","211","7","93","2","","","295","8","92","152","5","95","","","","2","","","155","12","88","","","","293","7","93","14","36","64","7","","","3","",""
"644:775","Open Campus High School","42","33","67","9","","","","","","16","44","56","1","","","23","39","61","9","","","","","","5","","","16","38","63","","","","25","36","64","","","","","","","1","",""
"644:ALL","DeKalb County","4820","14","86","1824","20","80","","","","2946","9","91","188","21","79","3720","14","86","2526","10","90","155","37","63","398","34","66","2244","18","82","4","","","4447","11","89","323","54","46","92","4","96","611","4","96"
"645:3050","Dodge County High School","178","9","91","88","10","90","","","","84","6","94","2","","","54","13","87","98","4","96","2","","","","","","74","14","86","","","","154","3","97","18","50","50","3","","","111","6","94"
"645:ALL","Dodge County","178","9","91","88","10","90","","","","84","6","94","2","","","54","13","87","98","4","96","2","","","","","","74","14","86","","","","154","3","97","18","50","50","3","","","111","6","94"
"646:182","Dooly County High School","59","31","69","48","25","75","","","","","","","","","","39","26","74","25","20","80","1","","","","","","23","30","70","","","","39","8","92","9","","","","","","8","",""
"646:ALL","Dooly County","59","31","69","48","25","75","","","","","","","","","","39","26","74","25","20","80","1","","","","","","23","30","70","","","","39","8","92","9","","","","","","8","",""
"647:1050","Albany High School","126","22","78","126","22","78","","","","","","","2","","","75","32","68","70","16","84","2","","","","","","56","30","70","","","","113","15","85","13","85","15","2","","","45","9","91"
"647:1058","Monroe High School","143","15","85","139","15","85","","","","","","","","","","134","15","85","76","12","88","","","","","","","63","19","81","","","","124","6","94","15","87","13","","","","5","",""
"647:2052","Dougherty Comprehensive High School","197","20","80","176","19","81","","","","","","","","","","169","19","81","109","10","90","","","","","","","67","33","67","","","","167","16","84","9","","","","","","7","",""
"647:4062","Westover High School","259","19","81","253","18","82","","","","","","","3","","","168","24","76","132","14","86","1","","","","","","121","21","79","","","","239","15","85","14","71","29","","","","81","5","95"
"647:ALL","Dougherty County","725","19","81","694","18","82","","","","","","","5","","","546","21","79","387","13","87","3","","","","","","307","25","75","","","","643","14","86","51","78","22","2","","","138","7","93"
"648:100","Chapel Hill High School","289","8","92","35","14","86","","","","255","7","93","6","","","83","12","88","145","6","94","7","","","","","","145","10","90","","","","267","4","96","23","48","52","5","","","189","6","94"
"648:175","Lithia Springs Comprehensive High School","274","15","85","91","20","80","","","","182","13","87","9","","","101","18","82","136","13","88","15","40","60","5","","","137","18","82","1","","","246","11","89","27","52","48","1","","","146","11","89"
"648:187","Alexander High School","284","11","89","34","9","91","","","","252","10","90","4","","","33","15","85","140","6","94","4","","","1","","","146","13","87","","","","255","6","94","31","42","58","2","","","243","9","91"
"648:4050","Douglas County High School","257","17","83","91","23","77","","","","173","15","85","7","","","126","21","79","147","20","80","9","","","1","","","117","15","85","1","","","238","11","89","26","77","23","9","","","112","14","86"
"648:ALL","Douglas County","1104","12","88","251","19","81","","","","862","11","89","26","8","92","343","17","83","568","11","89","35","23","77","7","","","545","14","86","2","","","1006","8","92","107","54","46","17","6","94","690","10","90"
"649:2050","Early County High School","162","28","72","124","35","65","","","","38","5","95","1","","","105","36","64","93","18","82","","","","1","","","69","41","59","","","","149","21","79","13","100","0","1","","","55","11","89"
"649:ALL","Early County","162","28","72","124","35","65","","","","38","5","95","1","","","105","36","64","93","18","82","","","","1","","","69","41","59","","","","149","21","79","13","100","0","1","","","55","11","89"
"650:1050","Echols County High/Elementary School","32","16","84","13","31","69","2","","","19","5","95","","","","2","","","13","0","100","5","","","","","","19","26","74","","","","32","16","84","","","","","","","25","12","88"
"650:ALL","Echols County","32","16","84","13","31","69","2","","","19","5","95","","","","2","","","13","0","100","5","","","","","","19","26","74","","","","32","16","84","","","","","","","25","12","88"
"651:197","South Effingham High School","230","6","94","20","15","85","","","","212","5","95","3","","","9","","","119","4","96","2","","","1","","","113","7","93","","","","218","4","96","14","29","71","1","","","217","6","94"
"651:390","Effingham County High School","264","12","88","53","21","79","","","","201","7","93","2","","","45","27","73","128","9","91","5","","","2","","","126","12","88","1","","","237","6","94","17","65","35","1","","","200","7","93"
"651:ALL","Effingham County","494","9","91","73","19","81","","","","413","6","94","5","","","54","22","78","247","6","94","7","","","3","","","239","10","90","1","","","455","5","95","31","48","52","2","","","417","6","94"
"652:176","Elbert County High School","197","25","75","83","40","60","2","","","111","15","85","3","","","78","41","59","100","22","78","7","","","3","","","94","30","70","","","","174","22","78","20","60","40","","","","106","10","90"
"652:ALL","Elbert County","197","25","75","83","40","60","2","","","111","15","85","3","","","78","41","59","100","22","78","7","","","3","","","94","30","70","","","","174","22","78","20","60","40","","","","106","10","90"
"653:189","Swainsboro High School","191","32","68","108","44","56","","","","82","17","83","","","","89","53","47","97","25","75","1","","","","","","93","40","60","","","","151","19","81","39","85","15","","","","100","14","86"
"653:2050","Emanuel County Institute","70","14","86","34","15","85","","","","35","14","86","","","","27","22","78","27","7","93","","","","","","","42","19","81","","","","61","7","93","8","","","","","","42","10","90"
"653:ALL","Emanuel County","261","28","72","142","37","63","","","","117","16","84","","","","116","46","54","124","21","79","1","","","","","","135","33","67","","","","212","15","85","47","83","17","","","","142","13","87"
"654:2050","Claxton High School","67","13","87","38","18","82","1","","","31","6","94","","","","22","27","73","29","14","86","1","","","","","","40","13","88","","","","61","8","92","8","","","","","","46","7","93"
"654:ALL","Evans County","67","13","87","38","18","82","1","","","31","6","94","","","","22","27","73","29","14","86","1","","","","","","40","13","88","","","","61","8","92","8","","","","","","46","7","93"
"655:176","Fannin County High School","198","19","81","63","22","78","","","","131","18","82","","","","1","","","91","11","89","2","","","","","","103","27","73","","","","170","13","87","24","67","33","","","","191","20","80"
"655:ALL","Fannin County","198","19","81","63","22","78","","","","131","18","82","","","","1","","","91","11","89","2","","","","","","103","27","73","","","","170","13","87","24","67","33","","","","191","20","80"
"656:182","McIntosh High School","350","3","97","12","17","83","","","","333","3","97","11","18","82","24","17","83","191","4","96","8","","","5","","","154","3","97","","","","319","2","98","26","23","77","7","","","295","1","99"
"656:192","Sandy Creek High School","292","3","97","20","10","90","","","","257","2","98","6","","","107","2","98","137","3","97","8","","","2","","","140","3","97","","","","264","2","98","13","31","69","6","","","150","2","98"
"656:194","Evening School","3","","","","","","","","","3","","","","","","1","","","2","","","","","","","","","1","","","","","","3","","","","","","","","","2","",""
"656:198","Starrs Mill High School","398","3","97","11","36","64","","","","391","2","98","7","","","21","14","86","192","4","96","7","","","3","","","210","2","98","","","","379","2","98","23","26","74","2","","","365","2","98"
"656:398","Fayette County High School","463","2","98","16","6","94","","","","459","2","98","24","4","96","97","3","97","238","1","99","8","","","2","","","237","3","97","","","","434","1","99","41","20","80","7","","","339","2","98"
"656:ALL","Fayette County","1506","3","97","59","15","85","","","","1443","2","98","48","8","92","250","5","95","760","3","97","31","16","84","12","50","50","742","3","97","","","","1399","1","99","103","23","77","22","0","100","1151","2","98"
"657:201","Model 9-12 High School","113","4","96","18","11","89","","","","96","3","97","1","","","4","","","61","0","100","2","","","1","","","53","9","91","","","","107","4","96","7","","","","","","107","4","96"
"657:401","Armuchee High School","120","10","90","14","14","86","","","","105","10","90","3","","","1","","","58","7","93","3","","","1","","","61","13","87","","","","111","6","94","8","","","","","","112","11","89"
"657:5050","Coosa High School","150","8","92","43","16","84","","","","105","5","95","","","","12","17","83","76","9","91","6","","","3","","","72","7","93","","","","136","4","96","12","50","50","1","","","129","6","94"
"657:5054","Pepperell High School","167","10","90","37","16","84","","","","127","8","92","","","","10","","","86","6","94","4","","","1","","","78","14","86","","","","163","9","91","1","","","2","","","148","7","93"
"657:ALL","Floyd County","550","8","92","112","15","85","","","","433","6","94","4","","","27","22","78","281","6","94","15","13","87","6","","","264","11","89","","","","517","6","94","28","46","54","3","","","496","7","93"
"658:190","South Forsyth High School","432","7","93","29","45","55","","","","392","4","96","6","","","5","","","193","4","96","27","52","48","14","93","7","228","9","91","","","","396","6","94","25","24","76","2","","","381","3","97"
"658:195","North Forsyth High School","381","8","92","37","27","73","2","","","343","6","94","3","","","","","","180","4","96","10","","","6","","","200","12","89","","","","346","5","95","34","38","62","","","","367","6","94"
"658:5050","Forsyth Central High School","362","4","96","29","24","76","1","","","332","2","98","4","","","1","","","191","2","98","19","32","68","9","","","170","7","93","","","","337","3","97","24","25","75","","","","337","3","97"
"658:ALL","Forsyth County","1175","6","94","95","32","68","3","","","1067","4","96","13","0","100","6","","","564","3","97","56","48","52","29","83","17","598","9","91","","","","1079","4","96","83","30","70","2","","","1085","4","96"
"659:3050","Franklin County High School","203","19","81","34","18","82","","","","156","15","85","1","","","19","37","63","102","6","94","2","","","","","","88","27","73","","","","173","13","87","17","47","53","4","","","164","12","88"
"659:ALL","Franklin County","203","19","81","34","18","82","","","","156","15","85","1","","","19","37","63","102","6","94","2","","","","","","88","27","73","","","","173","13","87","17","47","53","4","","","164","12","88"
"660:176","Banneker High School","278","18","82","198","20","80","","","","71","11","89","5","","","257","18","82","133","15","85","2","","","","","","136","21","79","","","","248","14","86","21","62","38","4","","","1","",""
"660:191","Roswell High School","518","4","96","40","20","80","","","","472","2","98","27","15","85","58","3","97","240","3","98","26","31","69","19","53","47","272","5","95","1","","","463","3","97","49","14","86","9","","","391","1","99"
"660:198","Centennial High School","452","5","95","39","23","77","","","","403","3","97","33","0","100","52","10","90","217","3","97","34","26","74","20","65","35","225","6","94","","","","406","4","96","36","14","86","9","","","314","2","98"
"660:203","Northview High School","472","2","98","10","","","","","","451","1","99","85","4","96","38","3","97","213","1","99","10","","","6","","","248","2","98","1","","","441","1","99","20","10","90","9","","","318","1","99"
"660:2060","Milton High School","568","2","98","18","28","72","","","","550","1","99","23","9","91","34","0","100","273","1","99","25","20","80","14","36","64","295","3","97","","","","531","1","99","37","11","89","14","0","100","472","1","99"
"660:291","Creekside High School","303","14","86","185","14","86","","","","101","8","92","2","","","228","11","89","149","8","92","15","13","87","1","","","137","16","84","","","","260","8","92","26","54","46","7","","","34","15","85"
"660:3066","Riverwood High School","283","16","84","71","45","55","","","","211","6","94","6","","","47","13","87","130","12","88","49","55","45","43","67","33","152","18","82","","","","270","13","87","12","67","33","17","24","76","163","4","96"
"660:392","Chattahoochee High School","454","4","96","19","5","95","","","","433","4","96","83","7","93","26","8","92","215","1","99","16","19","81","19","26","74","237","6","94","","","","435","3","97","17","18","82","19","11","89","308","1","99"
"660:4062","North Springs High School","395","8","92","62","21","79","","","","326","5","95","18","0","100","151","15","85","224","3","97","12","8","92","","","","164","14","86","","","","359","6","94","29","31","69","12","8","92","195","3","97"
"660:502","Fulton County Charter High School for Mathematics ","64","2","98","6","","","","","","55","0","100","9","","","13","0","100","26","0","100","4","","","","","","35","0","100","","","","61","0","100","","","","4","","","31","0","100"
"660:5069","Westlake High School","239","5","95","101","5","95","","","","133","2","98","1","","","229","3","97","127","2","98","1","","","","","","107","4","96","","","","224","1","99","10","","","3","","","","",""
"660:691","Tri-Cities High School","370","17","83","84","20","80","","","","281","15","85","8","","","316","14","86","209","11","89","27","41","59","10","","","156","24","76","","","","334","13","87","31","58","42","5","","","9","",""
"660:ALL","Fulton County","4396","7","93","833","19","81","","","","3487","4","96","300","6","94","1449","11","89","2156","5","95","221","31","69","132","55","45","2164","9","91","2","","","4032","5","95","288","30","70","112","10","90","2236","2","98"
"661:196","Gilmer  High School","224","12","88","75","17","83","4","","","132","7","93","1","","","","","","111","5","95","14","29","71","6","","","96","18","82","","","","200","10","91","7","","","","","","192","9","91"
"661:ALL","Gilmer County","224","12","88","75","17","83","4","","","132","7","93","1","","","","","","111","5","95","14","29","71","6","","","96","18","82","","","","200","10","91","7","","","","","","192","9","91"
"662:196","Glascock County Consolidated School","23","9","91","2","","","","","","20","5","95","","","","5","","","15","0","100","","","","","","","7","","","","","","20","5","95","2","","","","","","17","6","94"
"662:ALL","Glascock County","23","9","91","2","","","","","","20","5","95","","","","5","","","15","0","100","","","","","","","7","","","","","","20","5","95","2","","","","","","17","6","94"
